Source Label, German Label, Spanish Label, Italian Label
cell component, Zelle Komponente, componente móvil, cella componente, cill comhpháirte
compound organ component, Substanz Organ Komponente, componente orgánico compuesto, componente organo composto, orgán comhábhar cumaisc
simple organ, Einfache Organ, simple órgano, un semplice organo, orgán simplí
compound organ, Substanz Organ, compuesto orgánico, un organo composto, orgán cumaisc
male organism, Männliche Organismus, organismo masculino, organismo maschile, fear orgánach
female organism, Weiblichen Organismus, organismo femenino, organismo femminile, baineann orgánach
hermaphroditic organism, Hermaphroditische Organismus, organismo hermafrodita, organismo hermaphroditic, hermaphroditic orgánach
asexual organism, Asexuelle Organismen, organismo asexual, organismi asessuati, orgánach éighnéasach
organism subdivision, Organismus Unterteilung, organismo subdivisión, organismo di compartimentazione, orgánach foroinnt
acellular anatomical structure, Azellulärer anatomischen Struktur, acelular estructuras anatómicas, acellulare struttura anatomica, éigeallach coirpeog
anatomical cluster, Anatomische Sternhaufen, anatomía de, cluster anatomica, braisle anatamaíoch
extraembryonic structure, Extraembryonic Struktur, extraembryonic estructura, extraembryonic struttura, struchtúr extraembryonic
portion of tissue, Teil des Gewebes, parte del tejido., parte di tessuto, fíochán de chuid
sequential hermaphroditic organism, Sequentielle hermaphroditische Organismus, organismo hermafrodita secuencial, organismo hermaphroditic sequenziale, orgánach hermaphroditic seicheamhach
synchronous hermaphroditic organism, Synchrone hermaphroditische Organismus, un organismo hermafrodita, organismo hermaphroditic sincrona, orgánach hermaphroditic sioncronach
gonochoristic organism, Gonochoristic Organismus, organismo gonochoristic, organismo gonochoristic, gonochoristic orgánach
protandrous hermaphroditic organism, Protandrous hermaphroditische Organismus, protandrous hermafroditas organismo, protandrous hermaphroditic organismo, luathfhireannach hermaphroditic orgánach
protogynous hermaphroditic organism, Protogynous hermaphroditische Organismus, protogynous hermafroditas organismo, protogynous hermaphroditic organismo, luathbhaineannach hermaphroditic orgánach
anatomical group, Anatomische Gruppe, grupo anatómicas, gruppo anatomica, grúpa anatamaíoch
multi-tissue structure, Multi-gewebe Struktur, multi-estructura tisular, multi-struttura tissutale, il--struchtúr fíocháin
cell space, Zelle Space, celda de espacio, cella spazio, cill spáis
portion of cell substance, Teil der Zelle Substanz, parte de la sustancia, porzione di sostanza cellulare, an chuid den tsubstaint cille
single cell organism, Einzelne Zelle Organismus, organismo único, singola cellula organismo, orgánach ceall singil
basal lamina, Flügelplatte Basal, lámina basal, lamina basale, lann bunaidh
epithelium, Waren, epitelio, epitelio, eipitéiliam
simple cuboidal epithelium, Einfache cuboidal waren, simple cuboidal epitelio, semplice cuboidal epitelio, eipitéiliam ciúbóidiúil simplí
simple columnar epithlium, Einfache in Spalten epithlium, simple columna epithlium, semplice epithlium colonne, epithlium simplí colúnach
multilaminar epithelium, Multilaminar waren, epitelio multilaminar, epitelio multilaminar, eipitéiliam multilaminar
simple squamous epithelium, Einfache Plattenepithel- waren, epitelio escamoso simple, semplice dell ’ epitelio squamoso, eipitéiliam gainneach simplí
atypical epithelium, Atypische waren, epitelio atípicos, epitelio atipica, eipitéiliam neamhthipiciúil
cavitated compound organ, Cavitated Substanz Organ, cavitated compuesto orgánico, "un organo composto di cavitazione,
", orgán cavitated cumaisc
unilaminar epithelium, Unilaminar waren, epitelio unilaminar, epitelio unilaminar, eipitéiliam unilaminar
solid compound organ, Verbindung Organ, compuesto sólido órgano, un organo composto solido, meascán d & apos; aon organ soladach
epithelial cell, Epithelialen Zelle, las células epiteliales, cellule epiteliali, cill eipitéiliach
multi-cell-component structure, Multi-zelle-komponente Struktur, multi-@-@ componente estructura celular, multi-@-@ componente struttura cellulare, cill-il--struchtúr comhpháirte
neuron projection bundle, Dummkopf Projektion Bündel, neurona proyección paquete, neurone proiezione bundle, teilgean beart néarón
